16,12.938979100435972,105.06559999999999
1536,21.201616697013378,679.6648
2048,23.054654199630022,1048.5912
2560,23.987637501209974,1572.8632
3072,26.385512497276068,2202.032
3584,30.3210166990757,715.5648
3968,30.85050419718027,1137.3176
64,12.054499998688698,104.85279999999997
128,12.626779198646545,155.2016
256,12.923166703432798,155.19680000000002
384,14.522079203277826,155.2392
512,16.092120800167322,209.7248
768,17.856525000184774,260.12159999999994
1024,17.79318330064416,364.8944
1280,18.622545797377825,524.2872
